Height.m.x,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95
16.15,13.87575,5.23178169,4.127823593,-0.159036209,1.505240778,0.790269018,58.68544601,64.86096064,6.3865,7.0601,7.47815,7.7902,8.22555,8.71,9.1213,9.60055,10.1268,10.9998
15.2,12.8505,5.558506328,3.789316947,-0.223149178,1.669999176,0.917349604,54.26287744,74.95559503,6.2155,6.9428125,7.498,7.9885375,8.420025,8.865375,9.29,9.7139625,10.13315,10.755525
16.65,13.68,6.748782659,4.021320558,-0.707767546,2.097726302,0.824944733,65.12605042,76.66157372,8.085375,8.4402125,8.73755,9.0374625,9.389625,9.7096875,10.02955,10.4284375,10.98295,11.607725
14.65,11.4895,4.308379634,3.963017861,0.085827471,1.345294912,0.788601799,52.34479678,57.52568111,4.93225,5.759725,6.47925,6.97505,7.64815,8.109875,8.56505,9.019,9.40625,9.979
16.05,12.626,5.176545006,4.284742712,-0.112666416,1.379271735,0.814152917,55.91861899,63.00863132,6.406875,7.2238375,7.79245,8.2054875,8.57255,8.945625,9.4015,9.822825,10.30685,10.9629375
14.5,11.601,5.200912951,3.843246511,-0.314621128,1.524602489,0.83381381,60.78688525,67.67213115,6.463,6.9134,7.33605,7.6812,8.04225,8.44225,8.83845,9.17655,9.58685,10.19665
14.05,11.276,4.84553323,3.587702005,-0.307863081,1.549425335,0.818747223,59.13043478,68.32298137,6.072,6.4946875,6.8677,7.11745,7.446625,7.9186875,8.207,8.56165,8.938025,9.522325
16.05,13.29675,5.47775332,4.152907839,-0.269857898,1.485623076,0.802370437,58.48729792,67.147806,6.96,7.4187625,7.97495,8.2980875,8.65595,8.960125,9.35845,9.7416875,10.25665,10.8846
10.3,7.611,2.197240855,1.886531716,0.342876289,2.039627096,0.827590062,50.02949853,52.62536873,2.201,2.518175,2.8717,3.12985,3.3891,3.7205,4.01825,4.341225,4.6783,5.2898
6.05,7.0395,1.110162027,1.443432403,1.328134874,4.154843378,0.595605916,37.73195876,24.74226804,0.2315,0.6129,0.9993,1.26685,1.6266,1.989375,2.32105,2.808175,3.1591,4.083625
9.25,6.59225,1.446830528,1.686219673,0.809633761,2.374042802,0.713866615,41.49738828,35.69355775,0.4615,1.08915,1.6091,2.0484,2.4169,2.7645,3.20325,3.656625,3.98295,4.60305
10,7.601,1.545836708,1.896865343,0.93646716,2.597611962,0.691978217,39.64632059,35.25385054,0.21175,0.89575,1.5266,2.03425,2.4803,3.039,3.4788,3.96825,4.5372,5.24415
9.5,6.08875,1.235265829,1.535070814,0.979851162,2.791534845,0.662632147,39.85102421,30.44692737,0.185875,0.7415,1.22825,1.6906,2.01675,2.350375,2.7305,3.09525,3.716725,4.3471875
8.5,5.288,0.799298587,1.15435181,1.411041746,3.994307068,0.558875678,34.39007581,17.57408684,0.124,0.164375,0.24675,0.735625,1.07625,1.412,1.81825,2.224625,2.66175,3.251375
16.6,17.00175,4.475331417,4.264484547,0.495840352,2.121943893,0.785728405,49.30481283,58.98395722,4.271,5.0791625,5.7289,6.403425,7.095325,7.7050625,8.55335,9.4479125,10.53085,11.8615
9.05,7.3775,2.152473249,1.971768198,0.395366024,1.954968568,0.823148183,48.93784422,51.37686861,2.06125,2.376,2.70925,2.977,3.38725,3.69575,4.12375,4.501125,4.96075,5.6
10.6,7.31575,1.741376112,1.771013565,0.715842841,2.54980547,0.761146564,45.72210815,41.61533196,1.4275,1.7895,2.064,2.35625,2.72825,3.03425,3.3685,3.798,4.27825,5.045
10.75,9.0975,3.188995318,2.287401446,0.195644872,2.214747941,0.876548698,50.27106949,69.93592903,3.213,3.51505,3.75785,4.06635,4.3652,4.7585,5.24565,5.85125,6.36135,7.0502
9.75,11.6345,3.039197551,2.627594191,0.551648196,2.48374667,0.819401444,47.55102041,61.91836735,2.834625,3.2307,3.53645,3.8847,4.289375,4.8025625,5.3402,6.0532625,6.8797,7.9506625
9,8.2975,1.541495118,1.677933628,1.039816509,3.556322081,0.688238805,43.77104377,34.88215488,1.22975,1.47675,1.71775,1.96525,2.279,2.56475,2.86585,3.30285,4.00235,4.92875
10.95,11.48675,2.2988708,2.521281824,0.693083086,2.262906317,0.686641171,44.65836165,46.3193658,1.386,2.2641,2.80405,3.4083,3.90585,4.3975,4.8806,5.4748,5.96565,6.77835
12.35,10.4635,2.599862033,2.103969032,0.570205521,2.750158639,0.794520627,47.56224066,59.23236515,2.467125,2.715,2.97155,3.2192625,3.555875,3.9364375,4.35625,4.8814,5.643075,6.461725
11.4,8.9515,2.389847096,2.221888348,0.414733846,2.011658479,0.813899366,48.48484848,52.97979798,2.29125,2.7236125,3.1055,3.43545,3.824625,4.225875,4.5922,4.9838,5.4186,6.065775
12.55,10.42225,2.815443265,2.59630078,0.547503121,2.339174343,0.82099751,46.55929722,56.5885798,2.549,2.9285,3.43475,3.8495625,4.32175,4.676375,5.27225,5.849125,6.400375,7.367125
3.9,10.14325,1.624538376,2.372989444,1.479657415,3.970068425,0.570027715,30.33210332,27.60147601,0.3285,0.4077,0.53155,0.9848,1.67335,2.537625,3.553,4.747575,5.7124,6.901325
3.95,3.41475,0.20346644,0.536892301,3.086579225,12.52258355,0.252031111,17.16227698,2.803738318,0,0,0,0,0,0,0.0162,0.32255,0.80945,1.5942
6.2,11.3905,1.68499789,2.511301071,1.414321036,3.656022863,0.543126046,30.5907173,29.11392405,0.241375,0.3140125,0.4576,0.8794625,1.800075,2.5705625,3.83015,5.2250125,6.379375,7.085375
8,7.163,0.83775261,1.253145307,1.628234433,5.103431116,0.478607973,30.20080321,19.03614458,0.1395,0.19155,0.27785,0.54275,0.8586,1.4135,1.8663,2.37945,2.91435,3.499
7.35,6.734,1.059469072,1.286397513,1.416001559,4.668943556,0.606567873,37.68041237,21.64948454,0.428125,0.663425,0.9509,1.1746875,1.4791,1.8108125,2.1019,2.434275,2.962525,3.730675
7.7,7.23625,1.38879674,1.590812937,1.019987454,3.049543227,0.662775147,39.98845932,31.62146567,0.4905,1.0234,1.38725,1.7717,2.1199,2.52125,2.8348,3.3581,3.86945,4.45415
5.9,3.41325,0.143856328,0.439453037,3.877685515,19.8748135,0.185082284,14.23139598,1.466594242,0,0,0,0,0,0,0,0.03975,0.5305,1.03275
11.85,9.5145,2.716396316,2.403868834,0.362941859,2.02366239,0.821208704,50,57.06806283,2.71375,3.1385,3.52165,3.8671125,4.217275,4.5915,4.95875,5.3951625,5.965075,6.855725
9.45,11.298,2.846941454,2.452883246,0.750206702,3.130749017,0.806137913,45.72697003,59.71143174,2.532,2.8865,3.254,3.605375,3.9597,4.41825,4.929,5.46915,6.04475,7.3741
6.4,4.8305,0.653033931,1.030951072,1.683291518,4.864374888,0.532375435,27.84810127,14.06469761,0.117625,0.1446375,0.1809,0.2254875,0.397525,1.05225,1.4522,1.894425,2.352775,2.9645
9.65,7.56375,1.164027746,1.580525246,1.388831538,4.078828275,0.598283761,35.57199772,24.9857712,0.20475,0.3254,0.74255,1.2195,1.61675,1.99925,2.5173,3.02965,3.69455,4.55865
5.45,8.2545,0.885151743,1.352750695,2.032336164,7.332704258,0.470928181,31.26005362,16.78284182,0.17975,0.2539,0.3646,0.6073,0.98245,1.414,1.75275,2.1636,2.85035,3.7148
7.95,10.8315,1.623310513,2.190039817,1.499416817,4.73419947,0.628208285,36.66450357,32.96560675,0.249,0.72525,1.3005,1.7935,2.315,2.775,3.2305,3.943,4.84675,6.2415
16.85,13.53625,5.895427208,4.301348532,-0.299619329,1.573388376,0.84265511,60.38186158,69.51073986,7.26775,7.7554375,8.23325,8.6296875,9.09225,9.4425625,9.81425,10.346625,11.012125,11.5276875
14.9,11.778,5.51429226,3.871904434,-0.467912171,1.605866317,0.804349447,63.90092879,69.47368421,6.93775,7.261825,7.6472,8.001225,8.37405,8.732125,9.013,9.36885,9.69505,10.208225
